-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.57.12, port 57548
[  5] local 192.168.57.6 port 5201 connected to 192.168.57.12 port 57550
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-1.00   sec  57.8 MBytes   485 Mbits/sec
[  5]   1.00-2.00   sec  73.6 MBytes   617 Mbits/sec
[  5]   2.00-3.00   sec  73.9 MBytes   620 Mbits/sec
[  5]   3.00-4.00   sec  57.1 MBytes   479 Mbits/sec
[  5]   4.00-5.00   sec  57.9 MBytes   486 Mbits/sec
[  5]   5.00-6.00   sec  50.8 MBytes   426 Mbits/sec
[  5]   6.00-7.00   sec  56.6 MBytes   475 Mbits/sec
[  5]   7.00-8.00   sec  74.7 MBytes   627 Mbits/sec
[  5]   8.00-9.00   sec  70.2 MBytes   589 Mbits/sec
[  5]   9.00-10.00  sec  74.0 MBytes   621 Mbits/sec
[  5]  10.00-11.00  sec  74.5 MBytes   625 Mbits/sec
[  5]  11.00-12.00  sec  74.3 MBytes   624 Mbits/sec
[  5]  12.00-13.00  sec  51.8 MBytes   435 Mbits/sec
[  5]  13.00-14.00  sec  43.3 MBytes   363 Mbits/sec
[  5]  14.00-15.00  sec  62.3 MBytes   523 Mbits/sec
[  5]  15.00-16.00  sec  52.0 MBytes   437 Mbits/sec
[  5]  16.00-17.00  sec  48.3 MBytes   405 Mbits/sec
[  5]  17.00-18.00  sec  53.6 MBytes   449 Mbits/sec
[  5]  18.00-19.00  sec  44.2 MBytes   371 Mbits/sec
[  5]  19.00-20.00  sec  67.1 MBytes   562 Mbits/sec
[  5]  20.00-21.00  sec  70.7 MBytes   593 Mbits/sec
[  5]  21.00-22.00  sec  51.1 MBytes   428 Mbits/sec
[  5]  22.00-23.00  sec  43.6 MBytes   366 Mbits/sec
[  5]  23.00-24.00  sec  45.5 MBytes   381 Mbits/sec
[  5]  24.00-25.00  sec  48.6 MBytes   407 Mbits/sec
[  5]  25.00-26.00  sec  39.9 MBytes   335 Mbits/sec
[  5]  26.00-27.00  sec  52.0 MBytes   437 Mbits/sec
[  5]  27.00-28.00  sec  46.5 MBytes   390 Mbits/sec
[  5]  28.00-29.00  sec  31.6 MBytes   265 Mbits/sec
[  5]  29.00-30.00  sec  54.6 MBytes   458 Mbits/sec
[  5]  30.00-31.00  sec  45.9 MBytes   385 Mbits/sec
[  5]  31.00-32.00  sec  45.5 MBytes   382 Mbits/sec
[  5]  32.00-33.00  sec  39.1 MBytes   328 Mbits/sec
[  5]  33.00-34.00  sec  44.6 MBytes   374 Mbits/sec
[  5]  34.00-35.00  sec  57.2 MBytes   480 Mbits/sec
[  5]  35.00-36.00  sec  53.5 MBytes   449 Mbits/sec
[  5]  36.00-37.00  sec  33.3 MBytes   279 Mbits/sec
[  5]  37.00-38.00  sec  25.4 MBytes   213 Mbits/sec
[  5]  38.00-39.00  sec  42.4 MBytes   355 Mbits/sec
[  5]  39.00-40.00  sec  53.9 MBytes   452 Mbits/sec
[  5]  40.00-41.00  sec  64.5 MBytes   541 Mbits/sec
[  5]  41.00-42.00  sec  60.0 MBytes   503 Mbits/sec
[  5]  42.00-43.00  sec  76.9 MBytes   645 Mbits/sec
[  5]  43.00-44.00  sec  55.0 MBytes   462 Mbits/sec
[  5]  44.00-45.00  sec  48.3 MBytes   405 Mbits/sec
